MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,potential_density
LGR_CP_PTSCI,20200930T075621,85.0043,2.26511,33.75829,30.05159,2.15768,1027.230604298018
LGR_CP_PTSCI,20200930T075648,82.99472,2.27719,33.74604,30.05115,2.14319,1027.210432363089
LGR_CP_PTSCI,20201003T050624,109.0395,2.35544,33.71083,30.10134,2.21872,1027.2983185770659
LGR_CP_PTSCI,20201003T050647,107.02074,2.38449,33.70301,30.11893,2.24936,1027.2801951976253
LGR_CP_PTSCI,20201003T050710,104.9615,2.44467,33.68672,30.15625,2.27991,1027.2525217852929
LGR_CP_PTSCI,20201003T050733,102.99483,2.44275,33.68629,30.15338,2.2959,1027.2431121303925
LGR_CP_PTSCI,20201003T050755,101.03361,2.45465,33.68313,30.16011,2.26846,1027.2303917445704
LGR_CP_PTSCI,20201003T050818,99.04564,2.47379,33.67983,30.1729,2.31235,1027.2168206791248
LGR_CP_PTSCI,20201006T021725,113.01112,2.92413,33.75704,30.62819,2.80536,1027.3039558888431
LGR_CP_PTSCI,20201006T021749,111.02565,2.96136,33.74426,30.64885,2.79813,1027.2811467671602
LGR_CP_PTSCI,20201006T021813,108.99253,2.99814,33.73529,30.67221,2.81915,1027.2611642319591
LGR_CP_PTSCI,20201006T021838,106.95868,3.01855,33.73341,30.68732,2.87283,1027.2482897353898
LGR_CP_PTSCI,20201006T021903,105.00838,3.0762,33.726,30.72997,2.90817,1027.2279861634786
LGR_CP_PTSCI,20201006T021927,103.02972,3.08875,33.72162,30.73627,2.91956,1027.2141041909097
LGR_CP_PTSCI,20201006T021952,100.98982,3.09479,33.71748,30.73715,2.92822,1027.2007280764471
LGR_CP_PTSCI,20201008T232240,114.9828,2.76727,33.71529,30.46018,2.6532,1027.2941900373262
LGR_CP_PTSCI,20201008T232306,112.98369,2.78336,33.70374,30.46365,2.67163,1027.274237009457
LGR_CP_PTSCI,20201008T232332,110.99922,2.90005,33.68729,30.54944,2.69101,1027.2414373388501
LGR_CP_PTSCI,20201008T232359,108.98424,2.96341,33.66994,30.5887,2.70807,1027.2125103198707
LGR_CP_PTSCI,20201011T210608,104.98598,2.69968,33.78255,30.45251,2.62357,1027.3066932866132
LGR_CP_PTSCI,20201011T210629,102.99455,2.69836,33.78263,30.45055,2.66934,1027.2975420287644
LGR_CP_PTSCI,20201011T210651,101.00207,2.69803,33.78251,30.44926,2.6456,1027.2881395906281
LGR_CP_PTSCI,20201011T210713,98.99885,2.70035,33.78149,30.44952,2.66571,1027.2777395253618
LGR_CP_PTSCI,20201011T210736,96.99721,2.70663,33.78009,30.45288,2.68652,1027.2666972354828
LGR_CP_PTSCI,20201011T210759,95.00279,2.77182,33.76438,30.49517,2.68417,1027.2391385511733
LGR_CP_PTSCI,20201011T210823,92.99728,2.82498,33.75341,30.53098,2.6698,1027.216320225364
LGR_CP_PTSCI,20201014T194320,124.97161,3.05481,33.6952,30.69516,2.78546,1027.2988927378174
LGR_CP_PTSCI,20201014T194344,122.96793,3.0531,33.69493,30.69258,2.80008,1027.2894713456367
LGR_CP_PTSCI,20201014T194409,120.98588,3.04013,33.67945,30.6678,2.84689,1027.2691422314708
LGR_CP_PTSCI,20201014T194433,119.0082,3.05325,33.67054,30.67087,2.87979,1027.2516261623282
LGR_CP_PTSCI,20201014T194458,117.00809,3.10739,33.66015,30.70794,2.9151,1027.2290282380106
LGR_CP_PTSCI,20201014T194524,115.00379,3.13376,33.65583,30.72616,2.98654,1027.2137840791243
LGR_CP_PTSCI,20201017T170200,142.99393,2.92096,33.56792,30.48381,2.68488,1027.2946264585994
LGR_CP_PTSCI,20201017T170230,140.98175,2.92862,33.57088,30.4919,2.72275,1027.2868622796564
LGR_CP_PTSCI,20201017T170259,139.00348,2.95279,33.6054,30.54005,2.75015,1027.3027527213749
LGR_CP_PTSCI,20201017T170325,137.00342,2.9873,33.61195,30.57413,2.79993,1027.2954241449866
LGR_CP_PTSCI,20201017T170349,135.00455,2.99112,33.61153,30.57617,2.8486,1027.2853944120272
LGR_CP_PTSCI,20201017T170414,132.99307,2.98685,33.60852,30.56913,2.84689,1027.273996758103
LGR_CP_PTSCI,20201017T170439,131.00912,2.95676,33.60018,30.5356,2.89883,1027.2608665265502
LGR_CP_PTSCI,20201017T170504,129.02606,2.96179,33.59664,30.53611,2.89191,1027.248327101248
LGR_CP_PTSCI,20201017T170529,127.0097,2.96545,33.58889,30.53199,2.90182,1027.2324210880793
LGR_CP_PTSCI,20201017T170555,124.98954,2.91989,33.55995,30.46832,2.90845,1027.2041819037145
LGR_CP_PTSCI,20201020T151236,137.00491,2.96289,33.61849,30.55857,3.01111,1027.3028527788829
LGR_CP_PTSCI,20201020T151306,135.02045,2.92429,33.59314,30.50379,3.0459,1027.2770118296478
LGR_CP_PTSCI,20201020T151334,133.00967,2.92566,33.57927,30.49269,3.00281,1027.256490496236
LGR_CP_PTSCI,20201020T151402,131.00519,2.93359,33.57183,30.49249,2.992,1027.2404967113146
LGR_CP_PTSCI,20201020T151430,129.05154,2.94391,33.56297,30.49317,2.97659,1027.223397773761
LGR_CP_PTSCI,20201023T122139,167.00009,3.07715,33.44238,30.52482,3.10245,1027.293001561062
LGR_CP_PTSCI,20201023T122204,165.00708,3.07755,33.4285,30.51283,3.12653,1027.2726655473489
LGR_CP_PTSCI,20201023T122229,162.9986,3.09113,33.41538,30.51272,3.10748,1027.2516292757962
LGR_CP_PTSCI,20201023T122256,160.996,3.09906,33.40815,30.51264,3.09097,1027.2358101540847
LGR_CP_PTSCI,20201023T122322,159.01486,3.09988,33.40721,30.51168,3.13138,1027.2257340595131
LGR_CP_PTSCI,20201023T122349,156.99612,3.10107,33.40624,30.511,3.11203,1027.2154236872166
LGR_CP_PTSCI,20201023T122417,154.97153,3.10501,33.40281,30.51064,3.08676,1027.2028817688247
LGR_CP_PTSCI,20201026T092640,175.0174,3.16037,33.42174,30.58247,3.06006,1027.306288598121
LGR_CP_PTSCI,20201026T092711,173.0072,3.14334,33.40519,30.55335,3.10458,1027.2854129056334
LGR_CP_PTSCI,20201026T092744,171.01224,3.13852,33.39316,30.5384,3.11603,1027.2670303984823
LGR_CP_PTSCI,20201026T092818,168.98743,3.14023,33.38861,30.53521,3.13245,1027.2538131533252
LGR_CP_PTSCI,20201026T092852,166.99365,3.14279,33.38297,30.53184,3.1489,1027.2397978836423
