=============
Float 9313 (Alamo/Alto)
-------------
Float 9313, Dive 41
Product ID STANDARD
Software Version 10.2.2
Trajectory
GPS fixes:
fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤════════╗
║       time │ pressure (dBar) │   code ║
╟────────────┼─────────────────┼────────╢
║        329.1200 │             3.5010 │        34.3700 │       3.4980 ║
║        326.9200 │             3.4950 │        34.3660 │       3.4770 ║
║        325.1600 │             3.4880 │        34.3650 │       3.5620 ║
║        323.5600 │             3.4790 │        34.3660 │       3.5620 ║
║        321.2000 │             3.4570 │        34.3560 │       3.5190 ║
║        318.8000 │             3.4360 │        34.3570 │       3.5190 ║
║        317.4000 │             3.4250 │        34.3550 │       3.3910 ║
║        314.8400 │             3.3740 │        34.3380 │       3.4550 ║
║        312.4400 │             3.3570 │        34.3400 │       3.3910 ║
║        310.8800 │             3.3600 │        34.3430 │       3.4340 ║
║        309.2800 │             3.3580 │        34.3360 │       3.3910 ║
║        307.1200 │             3.3380 │        34.3300 │       3.5190 ║
║        304.5200 │             3.3060 │        34.3310 │       3.4770 ║
║        302.9200 │             3.3210 │        34.3300 │       3.5620 ║
║        301.3200 │             3.3370 │        34.3300 │       3.5620 ║
║        299.0000 │             3.3420 │        34.3210 │       3.4980 ║
║        296.8400 │             3.3390 │        34.3190 │       3.4340 ║
║        294.9600 │             3.3420 │        34.3230 │       3.3480 ║
║        293.4000 │             3.3460 │        34.3200 │       3.3910 ║
║        291.0000 │             3.3450 │        34.3190 │       3.4120 ║
║        288.6400 │             3.3450 │        34.3190 │       3.5190 ║
║        287.2000 │             3.3440 │        34.3100 │       3.4340 ║
║        286.2400 │             3.3410 │        34.3190 │       3.3480 ║
║        285.4400 │             3.3410 │        34.3170 │       3.3910 ║
║        284.6400 │             3.3370 │        34.3160 │       3.4770 ║
║        283.5200 │             3.3320 │        34.3170 │       3.4770 ║
║        282.2400 │             3.3280 │        34.3060 │       3.4770 ║
║        281.4400 │             3.3260 │        34.3130 │       3.3910 ║
║        280.6400 │             3.3260 │        34.3200 │       3.4770 ║
║        279.5200 │             3.3270 │        34.3120 │       3.3910 ║
║        278.2800 │             3.3360 │        34.3130 │       3.3050 ║
║        277.5600 │             3.3370 │        34.3090 │       3.3480 ║
║        276.6800 │             3.3350 │        34.3140 │       3.3910 ║
║        275.5200 │             3.3500 │        34.3160 │       3.4340 ║
║        274.2800 │             3.3620 │        34.3170 │       3.3050 ║
║        273.8000 │             3.3680 │        34.3190 │       3.3910 ║
║        272.6800 │             3.3750 │        34.3150 │       3.3910 ║
