=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 71
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-06 13:02:00 UTC
latitude:  69.0939397
longitude: -51.9943417
ttf:       170
nsat:      5
min snr:   0
mean snr:  31
max snr:   45
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-01-11 15:37:00 UTC
latitude:  69.0945841
longitude: -51.9892713
ttf:       100
nsat:      5
min snr:   0
mean snr:  29
max snr:   43
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        457.1200 │             2.8230 │        34.2190 │         300000 ║
║        457.2000 │             2.8170 │        34.2180 │         301800 ║
║        457.2400 │             2.8140 │        34.2150 │         303600 ║
║        457.2400 │             2.8090 │        34.2150 │         305400 ║
║        457.2000 │             2.8030 │        34.2070 │         307200 ║
║        457.1600 │             2.8030 │        34.2140 │         309000 ║
║        457.0800 │             2.8030 │        34.2120 │         310800 ║
║        457.0400 │             2.8030 │        34.2120 │         312600 ║
║        456.9600 │             2.8050 │        34.2100 │         314400 ║
║        456.9200 │             2.8070 │        34.2130 │         316200 ║
║        456.8800 │             2.8070 │        34.2090 │         318000 ║
║        456.8400 │             2.8090 │        34.2130 │         319800 ║
║        456.8000 │             2.8100 │        34.1200 │         321600 ║
║        456.8000 │             2.8110 │        34.2130 │         323400 ║
║        456.8000 │             2.8110 │        34.2120 │         325200 ║
║        456.8400 │             2.8120 │        34.2130 │         327000 ║
║        456.9200 │             2.8130 │        34.2130 │         328800 ║
║        456.9600 │             2.8140 │        34.2130 │         330600 ║
║        457.0800 │             2.8080 │        34.2100 │         332400 ║
║        457.2000 │             2.8080 │        34.2140 │         334200 ║
║        457.2800 │             2.8130 │        34.2160 │         336000 ║
║        457.4000 │             2.8130 │        34.2140 │         337800 ║
║        457.4800 │             2.8140 │        34.2100 │         339600 ║
║        457.5200 │             2.8160 │        34.2150 │         341400 ║
║        457.6000 │             2.8160 │        34.2150 │         343200 ║
║        457.6000 │             2.8160 │        34.2160 │         345000 ║
║        457.6000 │             2.8140 │        34.2170 │         346800 ║
║        457.5600 │             2.8150 │        34.2150 │         348600 ║
║        457.5200 │             2.8130 │        34.2150 │         350400 ║
║        457.4400 │             2.8060 │        34.2160 │         352200 ║
