=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 77
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-06 06:17:00 UTC
latitude:  69.0950683
longitude: -51.985653
ttf:       10
nsat:      6
min snr:   26
mean snr:  33
max snr:   39
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-02-11 08:55:00 UTC
latitude:  69.0966182
longitude: -51.9748802
ttf:       230
nsat:      5
min snr:   0
mean snr:  30
max snr:   39
hdop:      4.6

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        463.5200 │             2.7980 │        34.2020 │       2.9420 ║
║        462.4800 │             2.7970 │        34.2020 │       2.8460 ║
║        461.4800 │             2.7980 │        34.2020 │       2.9050 ║
║        460.5200 │             2.7960 │        34.2040 │       2.8180 ║
║        459.4800 │             2.7970 │        34.2030 │       2.8730 ║
║        458.4400 │             2.7980 │        34.2030 │       2.7960 ║
║        457.4800 │             2.7970 │        34.2030 │       2.8430 ║
║        456.5600 │             2.7980 │        34.2040 │       2.8290 ║
║        455.5200 │             2.8000 │        34.2030 │       2.7410 ║
║        454.4400 │             2.8020 │        34.2030 │       2.9270 ║
║        453.5600 │             2.8030 │        34.2060 │       2.8580 ║
║        452.6000 │             2.8050 │        34.2050 │       2.8940 ║
║        451.5600 │             2.8040 │        34.2040 │       2.8400 ║
║        450.4800 │             2.8030 │        34.2030 │       2.8400 ║
║        449.5600 │             2.7940 │        34.2020 │       2.8730 ║
║        448.6000 │             2.7880 │        34.2020 │       2.8180 ║
║        447.5200 │             2.7830 │        34.2000 │       2.8180 ║
║        446.4400 │             2.7830 │        34.2000 │       2.8070 ║
║        445.5200 │             2.7840 │        34.2020 │       2.8430 ║
║        444.6000 │             2.7870 │        34.2000 │       2.8730 ║
║        443.5200 │             2.7880 │        34.2000 │       2.8400 ║
║        442.4400 │             2.7870 │        34.2010 │       2.8180 ║
║        441.5200 │             2.7880 │        34.2010 │       2.8140 ║
║        440.5600 │             2.7890 │        34.2010 │       2.8400 ║
║        439.5200 │             2.7900 │        34.2010 │       2.8620 ║
║        438.4400 │             2.7900 │        34.2000 │       2.8290 ║
║        437.4000 │             2.7930 │        34.2000 │       2.9160 ║
║        436.4800 │             2.7950 │        34.2030 │       2.8290 ║
║        435.5600 │             2.7980 │        34.2010 │       2.8290 ║
║        434.4800 │             2.8000 │        34.2010 │       2.8400 ║
║        433.4800 │             2.8020 │        34.1980 │       2.8730 ║
║        432.4400 │             2.8010 │        34.1990 │       2.8070 ║
║        431.3600 │             2.8020 │        34.2000 │       2.7560 ║
║        430.4800 │             2.8030 │        34.1980 │       2.8730 ║
║        429.5200 │             2.8030 │        34.1980 │       2.8580 ║
║        428.5600 │             2.8040 │        34.1990 │       2.8290 ║
║        427.6400 │             2.8070 │        34.1980 │       2.8730 ║
║        426.4800 │             2.8110 │        34.1990 │       2.7520 ║
║        425.3600 │             2.8150 │        34.1970 │       2.7850 ║
║        424.4400 │             2.8150 │        34.1980 │       2.8140 ║
║        423.5200 │             2.8160 │        34.1990 │       2.8000 ║
║        422.4400 │             2.8180 │        34.1980 │       2.7410 ║
║        421.4000 │             2.8180 │        34.1980 │       2.7710 ║
║        420.4800 │             2.8170 │        34.1990 │       2.7710 ║
║        419.5600 │             2.8210 │        34.1970 │       2.8870 ║
║        418.4800 │             2.8210 │        34.1980 │       2.8290 ║
║        417.3600 │             2.8220 │        34.1980 │       2.9600 ║
║        416.4400 │             2.8210 │        34.1980 │       2.9310 ║
║        415.5200 │             2.8200 │        34.1980 │       2.7850 ║
║        414.5600 │             2.8220 │        34.1970 │       2.9890 ║
║        413.5200 │             2.8230 │        34.1990 │       2.8180 ║
║        412.4000 │             2.8230 │        34.1980 │       2.8140 ║
║        411.4800 │             2.8230 │        34.1980 │       2.8430 ║
║        410.5200 │             2.8250 │        34.1990 │       2.7850 ║
║        409.6000 │             2.8270 │        34.1960 │       2.9020 ║
║        408.5200 │             2.8270 │        34.1970 │       2.8290 ║
║        407.4400 │             2.8270 │        34.1970 │       2.8730 ║
║        406.4800 │             2.8270 │        34.1970 │       2.8430 ║
║        405.5600 │             2.8280 │        34.1960 │       2.8290 ║
║        404.6000 │             2.8270 │        34.1960 │       2.8580 ║
║        403.5200 │             2.8270 │        34.1970 │       2.8290 ║
║        402.4000 │             2.8270 │        34.1980 │       2.9600 ║
║        401.4400 │             2.8280 │        34.1960 │       2.7560 ║
