=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 88
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-04-08 19:42:00 UTC
latitude:  69.103968
longitude: -51.9383141
ttf:       80
nsat:      9
min snr:   0
mean snr:  34
max snr:   46
hdop:      0.9

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        377.5200 │             2.8480 │        34.1870 │       2.7850 ║
║        376.4400 │             2.8480 │        34.1880 │       2.8400 ║
║        375.5200 │             2.8480 │        34.1870 │       2.9450 ║
║        374.6000 │             2.8480 │        34.1880 │       2.8510 ║
║        373.5600 │             2.8480 │        34.1870 │       2.8180 ║
║        372.5200 │             2.8470 │        34.1860 │       2.8620 ║
║        371.4400 │             2.8470 │        34.1860 │       2.9270 ║
║        370.4400 │             2.8470 │        34.1870 │       2.8620 ║
║        369.5200 │             2.8460 │        34.1870 │       2.9310 ║
║        368.6000 │             2.8450 │        34.1860 │       2.8180 ║
║        367.5600 │             2.8410 │        34.1850 │       2.8730 ║
║        366.5200 │             2.8370 │        34.1840 │       2.8840 ║
║        365.4800 │             2.8360 │        34.1840 │       2.9050 ║
║        364.4400 │             2.8350 │        34.1840 │       2.9380 ║
║        363.5200 │             2.8340 │        34.1830 │       2.8430 ║
║        362.5600 │             2.8330 │        34.1840 │       2.9050 ║
║        361.6000 │             2.8320 │        34.1820 │       2.9310 ║
║        360.5200 │             2.8270 │        34.1830 │       2.8840 ║
║        359.4800 │             2.8250 │        34.1830 │       2.8290 ║
║        358.5600 │             2.8220 │        34.1820 │       2.8580 ║
║        357.4800 │             2.8210 │        34.1820 │       2.9380 ║
║        356.4000 │             2.8190 │        34.1810 │       2.8430 ║
║        355.5200 │             2.8150 │        34.1820 │       2.9020 ║
║        354.5600 │             2.8120 │        34.1790 │       2.8290 ║
║        353.4800 │             2.8040 │        34.1790 │       2.9050 ║
║        352.4000 │             2.8000 │        34.1780 │       2.8870 ║
║        351.5200 │             2.7940 │        34.1750 │       2.8870 ║
║        350.5600 │             2.7900 │        34.1750 │       2.8140 ║
║        349.5200 │             2.7900 │        34.1750 │       2.8290 ║
║        348.4400 │             2.7890 │        34.1760 │       2.8140 ║
║        347.5600 │             2.7870 │        34.1730 │       3.0470 ║
║        346.6000 │             2.7830 │        34.1730 │       2.8580 ║
║        345.5600 │             2.7800 │        34.1720 │       2.8510 ║
║        344.4800 │             2.7780 │        34.1700 │       2.9600 ║
║        343.6000 │             2.7770 │        34.1710 │       2.6830 ║
