lon,lat,date,depth,temperature,salinity
-50.24107,69.18225,29/08/2019,48.4732,,
-50.24107,69.18225,29/08/2019,48.5833,,
-50.24107,69.18225,29/08/2019,48.6934,,
-50.24107,69.18225,29/08/2019,48.8035,,
-50.24107,69.18225,29/08/2019,48.9137,,
-50.24107,69.18225,29/08/2019,49.0238,-0.2,32.04
-50.24107,69.18225,29/08/2019,49.1339,,
-50.24107,69.18225,29/08/2019,49.244,,
-50.24107,69.18225,29/08/2019,49.3541,,
-50.24107,69.18225,29/08/2019,49.4642,,
-50.24107,69.18225,29/08/2019,49.5744,,
-50.24107,69.18225,29/08/2019,49.6845,,
-50.24107,69.18225,29/08/2019,49.7946,,
-50.24107,69.18225,29/08/2019,49.9047,,
-50.24107,69.18225,29/08/2019,50.0148,,
-50.24107,69.18225,29/08/2019,50.1249,,
-50.24107,69.18225,29/08/2019,50.235,,
-50.24107,69.18225,29/08/2019,50.3451,,
-50.24107,69.18225,29/08/2019,50.4552,,
-50.24107,69.18225,29/08/2019,50.5653,,
-50.24107,69.18225,29/08/2019,50.6754,-0.11,32.13
-50.24107,69.18225,29/08/2019,50.7855,-0.11,32.15
-50.24107,69.18225,29/08/2019,50.8956,-0.11,32.13
-50.24107,69.18225,29/08/2019,51.0057,-0.11,32.15
-50.24107,69.18225,29/08/2019,51.1158,-0.11,32.17
-50.24107,69.18225,29/08/2019,51.2259,-0.1,32.18
-50.24107,69.18225,29/08/2019,51.336,-0.11,32.19
-50.24107,69.18225,29/08/2019,51.4461,-0.11,32.19
-50.24107,69.18225,29/08/2019,51.5562,-0.12,32.2
-50.24107,69.18225,29/08/2019,51.6663,-0.11,32.21
-50.24107,69.18225,29/08/2019,51.7764,-0.11,32.21
-50.24107,69.18225,29/08/2019,51.8865,-0.12,32.22
-50.24107,69.18225,29/08/2019,51.9966,,
-50.24107,69.18225,29/08/2019,52.1067,,
-50.24107,69.18225,29/08/2019,52.2168,,
-50.24107,69.18225,29/08/2019,52.3269,,
-50.24107,69.18225,29/08/2019,52.437,,
-50.24107,69.18225,29/08/2019,52.5471,,
